Country,Male Justification of wife-beating among adolescents (%),Female Justification of wife-beating among adolescents (%)
DZA,,55.0
AGO,24.0,24.7
BEN,17.4,28.8
BWA,,
BFA,40.2,38.8
BDI,47.9,63.3
CPV,24.2,22.5
CMR,44.9,36.5
CAF,82.8,79.4
TCD,53.5,68.8
COM,29.1,43.1
COG,45.3,56.0
CIV,29.3,42.9
COD,69.1,75.1
DJI,,
EGY,,46.1
GNQ,55.8,56.7
ERI,60.3,51.4
SWZ,29.2,32.3
ETH,32.8,60.3
GAB,47.1,57.9
GMB,41.9,58.3
GHA,20.1,35.1
GIN,,60.2
GNB,37.0,39.6
KEN,36.7,44.5
LSO,48.9,48.0
LBR,29.2,45.1
LBY,,
MDG,44.2,47.1
MWI,23.7,20.7
MLI,53.5,67.8
MRT,17.6,26.0
MUS,,
MAR,,63.9
MOZ,20.6,13.6
NAM,29.5,28.3
NER,41.4,53.5
NGA,24.8,30.3
RWA,24.4,45.1
STP,18.7,24.0
SEN,42.9,47.7
SYC,,
SLE,28.6,43.9
SOM,,74.8
ZAF,14.0,7.2
SSD,,71.5
SDN,,35.5
TGO,19.4,25.7
TUN,,26.7
UGA,53.0,57.5
TZA,49.6,59.1
ZMB,40.6,48.6
ZWE,48.9,53.5
