Country,Discriminatory family code,[YEAR] Discriminatory family code,Restricted civil liberty,[YEAR] Restricted civil liberty,Restricted access to resources and assets,[YEAR] Restricted access to resources and assets,Restricted physical integrity,[YEAR] Restricted physical integrity,Total,[YEAR] Total
DZA,79.9,2019,61.3,2019,41.2,2019,,,,
EGY,78.6,2019,,,64.6,2019,,,,
ETH,34.8,2019,17.9,2019,34,2019,30.8,2019,29.6,2019
GHA,59.5,2019,22.7,2019,30.7,2019,20.2,2019,34.5,2019
MOZ,32,2019,32.9,2019,15.3,2019,15.5,2019,24.3,2019
NGA,54.8,2019,53.9,2019,41.4,2019,32,2019,46,2019
ZAF,33.2,2019,21,2019,19.6,2019,15.1,2019,22.4,2019
SDN,89.9,2019,,,,,,,,
TZA,80.6,2019,35.2,2019,30,2019,28.5,2019,46.1,2019
ZMB,40.7,2019,41.8,2019,28.2,2019,27.6,2019,34.8,2019
AGO,47.2,2019,,,,,19,2019,,
BEN,40.5,2019,53.3,2019,36.2,2019,27.7,2019,39.8,2019
BWA,39.6,2019,52.4,2019,39.9,2019,,,,
BFA,44.9,2019,13.8,2019,32.9,2019,35.5,2019,32.4,2019
BDI,,,,,,,31.9,2019,,
CMR,51.1,2019,45.4,2019,77.7,2019,26.3,2019,51.8,2019
CAF,56.4,2019,54.2,2019,35.1,2019,24.5,2019,43.4,2019
TCD,55.8,2019,27.2,2019,61.9,2019,32.2,2019,45.4,2019
COG,42.8,2019,58.3,2019,,,,,,
CIV,29.7,2019,20.4,2019,76.1,2019,35.6,2019,42.8,2019
COD,53,2019,20.7,2019,46.4,2019,35.1,2019,39.5,2019
GNQ,63.9,2019,,,,,37.5,2019,,
ERI,42,2019,,,,,,,,
GAB,50.5,2019,25.6,2019,45.5,2019,37.3,2019,40.1,2019
GMB,87.8,2019,48.4,2019,,,44.9,2019,,
GIN,87.7,2019,44.4,2019,28.2,2019,56.9,2019,56.7,2019
GNB,59.7,2019,,,,,,,,
KEN,50.5,2019,17.2,2019,42.2,2019,28.9,2019,35.5,2019
LSO,46.5,2019,37.6,2019,40.5,2019,26.9,2019,38.1,2019
LBR,60,2019,52.8,2019,41.5,2019,33.5,2019,47.5,2019
LBY,40.8,2019,,,,,,,,
MDG,57.2,2019,59.4,2019,39.2,2019,31.6,2019,47.5,2019
MWI,38.5,2019,61.9,2019,37.4,2019,24.1,2019,41.4,2019
MLI,63.5,2019,28.9,2019,39.9,2019,48.4,2019,46,2019
MRT,88.1,2019,52.2,2019,,,,,,
MUS,52.7,2019,40.7,2019,19.2,2019,,,,
MAR,73.4,2019,59.3,2019,37.8,2019,25.7,2019,50.8,2019
NAM,33.1,2019,35.1,2019,26.2,2019,12.6,2019,27.1,2019
NER,84.4,2019,25.6,2019,,,,,,
RWA,38,2019,23.5,2019,26.5,2019,21.4,2019,27.6,2019
SEN,64.9,2019,3.6,2019,27.6,2019,41.9,2019,37,2019
SLE,53.7,2019,40.9,2019,44.8,2019,50.4,2019,47.6,2019
SOM,76.2,2019,,,,,,,,
SWZ,59.2,2019,,,,,,,,
TGO,63.1,2019,62,2019,43.5,2019,24.7,2019,49.5,2019
TUN,79.9,2019,52.8,2019,35,2019,9.4,2019,47.6,2019
UGA,54,2019,26.6,2019,61.4,2019,34.3,2019,45.1,2019
ZWE,42.8,2019,30.9,2019,34.3,2019,20.2,2019,32.4,2019
