Country,Child maltreatment: Extent of implementation of home-visiting programmes,Youth violence: Extent of implementation of life-skills and social development programmes,Intimate partner violence: Extent of implementation  of dating violence prevention programmes,Elder abuse: Extent of implementation  of caregiver-support programmes
DZA,1,2,1,2
BEN,1,2,2,0
BWA,0,2,2,1
BFA,0,0,0,0
BDI,0,0,0,0
CMR,1,1,0,0
EGY,1,1,0,1
SWZ,1,2,0,0
GAB,0,0,0,0
GHA,1,2,1,1
GIN,2,0,2,0
KEN,1,1,0,1
LBR,1,1,1,1
MDG,1,1,1,0
MWI,1,2,2,1
MRT,1,0,0,0
MAR,2,2,1,2
MOZ,1,1,2,0
NER,0,1,0,2
NGA,0,1,1,0
RWA,2,2,2,2
STP,0,0,0,0
SEN,0,1,1,0
SYC,1,2,1,2
ZAF,1,2,1,1
SDN,1,2,0,0
TUN,1,0,0,2
UGA,1,1,0,1
TZA,1,1,1,0
ZMB,1,0,1,1
ZWE,1,0,0,1
