Country,Age dependency ratio (% of working-age population),[YEAR] Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","[YEAR] Birth rate, crude (per 1,000 people)","Completeness of birth registration, female (%)","[YEAR] Completeness of birth registration, female (%)","Completeness of birth registration, male (%)","[YEAR] Completeness of birth registration, male (%)","Death rate, crude (per 1,000 people)","[YEAR] Death rate, crude (per 1,000 people)",Female headed households (% of households with a female head),[YEAR] Female headed households (% of households with a female head),Female migrants (% of international migrant stock),[YEAR] Female migrants (% of international migrant stock),GDP (current US$),[YEAR] GDP (current US$),GDP growth (annual %),[YEAR] GDP growth (annual %),"Government expenditure on education, total (% of GDP)","[YEAR] Government expenditure on education, total (% of GDP)",Human Capital Index (HCI) (scale 0-1),[YEAR] Human Capital Index (HCI) (scale 0-1),"Human Capital Index (HCI), Female (scale 0-1)","[YEAR] Human Capital Index (HCI), Female (scale 0-1)","Human Capital Index (HCI), Male (scale 0-1)","[YEAR] Human Capital Index (HCI), Male (scale 0-1)","Life expectancy at birth, female (years)","[YEAR] Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","[YEAR] Life expectancy at birth, male (years)","Life expectancy at age 60, female (years)","[YEAR] Life expectancy at age 60, female (years)","Life expectancy at age 60, male (years)","[YEAR] Life expectancy at age 60, male (years)","Population ages 0-14, female","[YEAR] Population ages 0-14, female",Population ages 0-14 (% of total),[YEAR] Population ages 0-14 (% of total),Population ages 15-64 (% of total),[YEAR] Population ages 15-64 (% of total),"Population ages 15-64, female","[YEAR] Population ages 15-64, female","Population ages 65 and above, female","[YEAR] Population ages 65 and above, female","Population, total","[YEAR] Population, total","Population, female (% of total)","[YEAR] Population, female (% of total)","Rural population, female (% of total)","[YEAR] Rural population, female (% of total)","Rural population, male (% of total)","[YEAR] Rural population, male (% of total)","Urban population, female (% of total)","[YEAR] Urban population, female (% of total)",Women with a national identity card or equivalent foundational identity document (% of women ages 15+),[YEAR] Women with a national identity card or equivalent foundational identity document (% of women ages 15+),Sex ratio at birth (male births per female births),[YEAR] Sex ratio at birth (male births per female births),"Urban population, male (% of total)","[YEAR] Urban population, male (% of total)"
AGO,95.39404182,2019.0,40.729,2018.0,25.2,2016.0,24.8,2016.0,8.19,2018.0,34.5,2016.0,48.9574729,2019.0,88815697793.0,2019.0,-0.624644318,2019.0,,,0.361,2017.0,0.358,2017.0,0.365,2017.0,63.666000000000004,2018.0,58.06399999999999,2018.0,16.567007999999998,2017.0,14.061151999999998,2017.0,7391525.0,2019.0,46.62202503,2019.0,51.17863322,2019.0,8301452.0,2019.0,387541.0,2019.0,31825295.0,2019.0,50.52747501,2019.0,28.74671341,2015.0,27.20420684,2015.0,21.64329535,2015.0,,,1.03,2018.0,22.405784399999998,2015.0
BEN,83.38665013,2019.0,36.221,2018.0,85.9,2018.0,85.4,2018.0,8.871,2018.0,24.9,2018.0,52.93838692,2019.0,14390709095.0,2019.0,6.865687335,2019.0,2.933969975,2018.0,0.406,2017.0,0.40299999999999997,2017.0,0.408,2017.0,63.003,2018.0,59.913999999999994,2018.0,17.739413,2017.0,16.609179,2017.0,2454268.0,2019.0,42.20551877,2019.0,54.52959631,2019.0,3234818.0,2019.0,220809.0,2019.0,11801151.0,2019.0,50.07897111,2019.0,28.35738579,2015.0,27.69556025,2015.0,21.7667065,2015.0,37.24853,2017.0,1.041,2018.0,22.18034746,2015.0
BWA,61.63152847,2019.0,24.820999999999998,2018.0,88.0,2017.0,87.0,2017.0,5.742000000000001,2018.0,,,43.08745343,2019.0,18340480936.0,2019.0,2.9661256480000002,2019.0,,,0.424,2017.0,0.446,2017.0,0.39299999999999996,2017.0,72.04899999999999,2018.0,66.204,2018.0,20.44572,2017.0,16.951982,2017.0,384639.0,2019.0,33.76498732,2019.0,61.86911734,2019.0,744929.0,2019.0,60016.0,2019.0,2303697.0,2019.0,51.63803667,2019.0,21.29314536,2015.0,21.24453087,2015.0,28.2936315,2015.0,96.22868000000001,2017.0,1.031,2018.0,29.16869227,2015.0
BFA,88.98271976,2019.0,37.93,2018.0,,,,,8.124,2018.0,8.8,2018.0,52.41376622,2019.0,15990803570.0,2019.0,5.699434934,2019.0,5.383790016,2018.0,0.369,2017.0,0.36,2017.0,0.354,2017.0,61.863,2018.0,60.361000000000004,2018.0,15.938002,2017.0,15.022129999999999,2017.0,4458768.0,2019.0,44.67782155,2019.0,52.91489091,2019.0,5418037.0,2019.0,296801.0,2019.0,20321378.0,2019.0,50.06356605,2019.0,35.50655875,2015.0,34.63578007,2015.0,14.70276305,2015.0,75.35252,2017.0,1.046,2018.0,15.15489813,2015.0
BDI,91.25118759,2019.0,39.008,2018.0,83.3,2017.0,83.7,2017.0,7.928999999999999,2018.0,28.7,2017.0,50.73080014,2019.0,3012334882.0,2019.0,1.8424766769999998,2019.0,5.078649998,2018.0,0.38,2017.0,0.387,2017.0,0.374,2017.0,63.031000000000006,2018.0,59.435,2018.0,17.335921,2017.0,15.948207,2017.0,2598741.0,2019.0,45.40064767,2019.0,52.28725702,2019.0,3063858.0,2019.0,148992.0,2019.0,11530580.0,2019.0,50.40154539,2019.0,45.13503515,2015.0,42.81354051,2015.0,5.456899741,2015.0,,,1.03,2018.0,6.594524602000001,2015.0
CPV,49.48760465,2019.0,19.49,2018.0,,,,,5.625,2018.0,,,49.42543412,2019.0,1981845740.0,2019.0,5.66775246,2019.0,5.181749821,2017.0,,,,,,,76.007,2018.0,69.316,2018.0,20.169248,2017.0,16.484146,2017.0,77184.0,2019.0,28.40644803,2019.0,66.89517852,2019.0,180099.0,2019.0,16617.0,2019.0,549935.0,2019.0,49.80579558,2019.0,17.68172888,2015.0,16.69941061,2015.0,32.41650295,2015.0,,,1.03,2018.0,33.20235756,2015.0
CMR,82.10219811,2019.0,35.385999999999996,2018.0,65.0,2014.0,67.0,2014.0,9.266,2018.0,26.0,2018.0,50.52779162,2019.0,39007354359.0,2019.0,3.720711422,2019.0,3.131200075,2018.0,0.39399999999999996,2017.0,0.39299999999999996,2017.0,0.395,2017.0,60.192,2018.0,57.656000000000006,2018.0,15.842329999999999,2017.0,14.620674,2017.0,5432966.0,2019.0,42.36213102,2019.0,54.91421907,2019.0,7112836.0,2019.0,390654.0,2019.0,25876380.0,2019.0,49.99329698,2019.0,23.17260836,2015.0,22.44592631,2015.0,26.82739164,2015.0,74.93141999999999,2017.0,1.03,2018.0,27.55407369,2015.0
CAF,87.73985849,2019.0,35.348,2018.0,,,,,12.289000000000001,2018.0,,,47.04409315,2019.0,2220307369.0,2019.0,2.9702756480000003,2019.0,,,,,,,,,54.99100000000001,2018.0,50.648999999999994,2018.0,15.515153,2017.0,13.291970999999998,2017.0,1036056.0,2019.0,43.92001576,2019.0,53.26519409,2019.0,1276547.0,2019.0,80606.0,2019.0,4745185.0,2019.0,50.43447255,2019.0,30.64751197,2015.0,29.31501145,2015.0,20.13325005,2015.0,,,1.03,2018.0,19.90422653,2015.0
TCD,97.28763578,2019.0,42.172,2018.0,12.0,2015.0,12.0,2015.0,12.104000000000001,2018.0,22.1,2015.0,53.8617418,2019.0,11314951343.0,2019.0,3.247181917,2019.0,2.454819918,2017.0,0.293,2017.0,0.289,2017.0,0.298,2017.0,55.4,2018.0,52.577,2018.0,16.508983999999998,2017.0,15.406934,2017.0,3717029.0,2019.0,46.82094474,2019.0,50.68741364,2019.0,4052826.0,2019.0,216502.0,2019.0,15946876.0,2019.0,50.0810127,2019.0,38.94891584,2015.0,38.5814039,2015.0,10.95185594,2015.0,20.56727,2017.0,1.03,2018.0,11.51782433,2015.0
COM,73.43429608,2019.0,31.881,2018.0,,,,,7.2139999999999995,2018.0,,,51.63947537,2019.0,1165839927.0,2019.0,1.9861095169999998,2019.0,2.5450599190000003,2015.0,0.409,2017.0,0.41,2017.0,0.409,2017.0,65.9,2018.0,62.398999999999994,2018.0,17.221426,2017.0,15.476916000000001,2017.0,164130.0,2019.0,39.28587378,2019.0,57.65872279,2019.0,243398.0,2019.0,14151.0,2019.0,850886.0,2019.0,49.55758141,2019.0,35.58441558,2015.0,36.1038961,2015.0,14.02597403,2015.0,,,1.05,2018.0,14.28571429,2015.0
