Country,"Children out of school, primary, female","[YEAR] Children out of school, primary, female","Children out of school, primary, male","[YEAR] Children out of school, primary, male","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","[YEAR] Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","[YEAR] Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","[YEAR] Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","[YEAR] Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","[YEAR] Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Expected Years of School, Female","[YEAR] Expected Years of School, Female","Expected Years of School, Male","[YEAR] Expected Years of School, Male",Female primary school age children out-of-school (%),[YEAR] Female primary school age children out-of-school (%),"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)","[YEAR] Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)",Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,[YEAR] Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,"Female share of graduates in Arts and Humanities programmes, tertiary (%)","[YEAR] Female share of graduates in Arts and Humanities programmes, tertiary (%)","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","[YEAR] Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","Female share of graduates in Business, Administration and Law programmes, tertiary (%)","[YEAR] Female share of graduates in Business, Administration and Law programmes, tertiary (%)","Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","[YEAR] Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","Female share of graduates in Health and Welfare programmes, tertiary (%)","[YEAR] Female share of graduates in Health and Welfare programmes, tertiary (%)","Female share of graduates in Education programmes, tertiary (%)","[YEAR] Female share of graduates in Education programmes, tertiary (%)","Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%)","[YEAR] Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%)","Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","[YEAR] Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%)","[YEAR] Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%)","Female share of graduates in Services programmes, tertiary (%)","[YEAR] Female share of graduates in Services programmes, tertiary (%)","Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)","[YEAR] Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)","Gross graduation ratio, primary, female (%)","[YEAR] Gross graduation ratio, primary, female (%)","Literacy rate, adult female (% of females ages 15 and above)","[YEAR] Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","[YEAR] Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","[YEAR] Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","[YEAR] Literacy rate, youth male (% of males ages 15-24)","Progression to secondary school, female (%)","[YEAR] Progression to secondary school, female (%)","Primary education, teachers (% female)","[YEAR] Primary education, teachers (% female)","Primary education, pupils (% female)","[YEAR] Primary education, pupils (% female)"
BEN,88277.0,2019.0,32693.0,2019.0,,,,,,,,,,,,,,,,,8.823309898,2020.0,9.608486176,2020.0,,,54.884780000000006,2015.0,,,56.08639,2015.0,60.50808000000001,2015.0,61.35154,2015.0,54.64481,2015.0,63.66534,2015.0,68.57143,2015.0,54.937819999999995,2015.0,55.06884,2015.0,60.84353,2015.0,59.07591,2015.0,61.490680000000005,2015.0,50.33269,2018.0,31.07164955,2018.0,53.97703171,2018.0,51.94361877,2018.0,69.76117706,2018.0,85.17943000000001,2015.0,26.53494072,2019.0,47.67029,2018.0
BWA,16996.0,2014.0,19288.0,2014.0,,,,,,,,,,,,,,,,,8.519343376,2020.0,7.727594852,2020.0,,,,,,,56.0,2017.0,57.9646,2017.0,,,,,70.03922,2017.0,70.58824,2017.0,,,,,,,66.97736,2017.0,,,76.60410999999999,2014.0,,,,,,,,,,,74.29987335,2015.0,48.86193,2015.0
BFA,377174.0,2019.0,371101.0,2019.0,0.0,2014.0,0.0,2014.0,0.0,2014.0,0.0,2014.0,,,,,0.0,2014.0,0.0,2014.0,7.004424095,2020.0,7.034153937999999,2020.0,32.99359131,2014.0,20.5868,2018.0,79.6354599,2014.0,17.509729999999998,2018.0,33.802820000000004,2018.0,48.659209999999995,2018.0,21.57895,2018.0,42.65487,2018.0,8.536589999999999,2018.0,18.74126,2018.0,28.57143,2016.0,45.029379999999996,2018.0,37.2549,2018.0,45.351240000000004,2018.0,64.63598,2016.0,32.68761826,2018.0,50.07458878,2018.0,54.66999817,2018.0,61.79000092,2018.0,79.47294000000001,2017.0,47.98313904,2019.0,48.71518,2018.0
BDI,55313.0,2019.0,85660.0,2019.0,0.46998000100000004,2017.0,1.4012299780000002,2017.0,1.052780032,2017.0,2.290019989,2017.0,13.82054996,2017.0,22.68732071,2017.0,,,,,7.907243729,2020.0,7.369833469,2020.0,1.731712341,2014.0,18.16911,2017.0,91.33420563,2014.0,12.13425,2017.0,65.0655,2017.0,35.91636,2017.0,8.03403,2017.0,40.390190000000004,2017.0,12.5625,2017.0,21.09181,2017.0,26.553109999999997,2017.0,31.285870000000003,2017.0,23.89108,2017.0,55.113640000000004,2017.0,67.22006999999999,2018.0,61.22369003,2017.0,76.29605103,2017.0,85.61855316,2017.0,91.03414917,2017.0,76.97064,2017.0,50.31332016,2019.0,50.11885,2018.0
CPV,2238.0,2018.0,1735.0,2018.0,7.010529995,2015.0,6.833909987999999,2015.0,12.31680012,2015.0,11.38064957,2015.0,49.46517181,2015.0,54.6093483,2015.0,0.081569999,2015.0,0.0,2015.0,,,,,,,42.35808,2018.0,,,71.42857,2018.0,100.0,2018.0,66.74938,2018.0,32.653059999999996,2018.0,77.44108,2018.0,56.98324,2018.0,66.66667,2018.0,44.0,2018.0,68.68178,2018.0,,,68.87966999999999,2018.0,91.41214000000001,2018.0,82.04222107,2015.0,91.69143677,2015.0,98.73017883,2015.0,97.58500671,2015.0,94.63132,2017.0,71.11402893,2018.0,47.80358,2018.0
CMR,262532.0,2019.0,83981.0,2019.0,,,,,,,,,,,,,,,,,8.312488556,2020.0,9.124749184,2020.0,10.01245117,2014.0,32.27844,2017.0,72.91483307,2014.0,63.43022,2017.0,29.08108,2017.0,54.365730000000006,2017.0,25.1945,2017.0,60.709990000000005,2017.0,44.16451,2017.0,36.263740000000006,2017.0,,,53.9549,2017.0,68.92779,2017.0,,,38.16937,2018.0,71.58627319,2018.0,82.6280365,2018.0,82.41000366,2018.0,87.72000122,2018.0,69.35837,2015.0,55.51343155,2019.0,47.0142,2018.0
TCD,483664.0,2019.0,240215.0,2019.0,,,,,,,,,,,,,,,,,4.392579556,2020.0,6.2182431220000005,2020.0,31.487022399999997,2014.0,,,97.5767746,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,13.95522976,2016.0,31.32879066,2016.0,22.38714981,2016.0,40.69289017,2016.0,65.19256,2015.0,18.77783012,2019.0,43.361740000000005,2016.0
COM,11145.0,2018.0,11522.0,2018.0,,,,,,,,,,,,,,,,,8.355579376,2020.0,7.996760845,2020.0,,,,,,,,,,,,,,,44.44444,2014.0,45.0,2014.0,,,,,,,44.0,2014.0,,,59.09661,2018.0,52.95639038,2018.0,64.64420319,2018.0,78.30236053,2018.0,78.23941040000001,2018.0,,,29.49412918,2018.0,49.0784,2018.0
CIV,166688.0,2019.0,32670.0,2019.0,1.4620000119999998,2014.0,4.04805994,2014.0,3.4048299789999996,2014.0,7.074580192999999,2014.0,27.815380100000002,2014.0,42.39215851,2014.0,0.11107,2014.0,0.409909993,2014.0,7.600057602000001,2020.0,8.515255928,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.817930000000004,2018.0,40.49937057,2018.0,53.65694046,2018.0,53.02510071,2018.0,63.84492111,2018.0,92.50092,2016.0,31.59939957,2019.0,47.90466,2018.0
GNQ,40811.0,2015.0,42800.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.26038,2015.0,,,,,,,,,,,44.39194107,2015.0,49.097390000000004,2015.0
