Country,Decision maker about a woman's own health care: mainly husband (% of women age 15-49),[YEAR] Decision maker about a woman's own health care: mainly husband (% of women age 15-49),Decision maker about a woman's own health care: mainly wife (% of women age 15-49),[YEAR] Decision maker about a woman's own health care: mainly wife (% of women age 15-49),Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49),[YEAR] Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: mainly husband (% of women age 15-49),[YEAR] Decision maker about a woman's visits to her family or relatives: mainly husband (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: mainly wife (% of women age 15-49),[YEAR] Decision maker about a woman's visits to her family or relatives: mainly wife (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: someone else (% of women age 15-49),[YEAR] Decision maker about a woman's visits to her family or relatives: someone else (% of women age 15-49),Decision maker about major household purchases: mainly husband (% of women age 15-49),[YEAR] Decision maker about major household purchases: mainly husband (% of women age 15-49),Decision maker about major household purchases: mainly wife (% of women age 15-49),[YEAR] Decision maker about major household purchases: mainly wife (% of women age 15-49),Decision maker about major household purchases: wife and husband jointly (% of women age 15-49),[YEAR] Decision maker about major household purchases: wife and husband jointly (% of women age 15-49),Decision maker about Visits to her family or relatives: wife and husband jointly (% of women age 15-49),[YEAR] Decision maker about Visits to her family or relatives: wife and husband jointly (% of women age 15-49),Female share of employment in senior and middle management (%),[YEAR] Female share of employment in senior and middle management (%),Firms with female top manager (% of firms),[YEAR] Firms with female top manager (% of firms),Proportion of seats held by women in national parliaments (%),[YEAR] Proportion of seats held by women in national parliaments (%),Proportion of women in ministerial level positions (%),[YEAR] Proportion of women in ministerial level positions (%),"Women participating in decision of visits to family, relatives, friends (% of women age 15-49)","[YEAR] Women participating in decision of visits to family, relatives, friends (% of women age 15-49)",Women participating in decision of what food to cook daily (% of women age 15-49),[YEAR] Women participating in decision of what food to cook daily (% of women age 15-49),Women participating in making daily purchase decisions (% of women age 15-49),[YEAR] Women participating in making daily purchase decisions (% of women age 15-49),Women participating in making major household purchase decisions (% of women age 15-49),[YEAR] Women participating in making major household purchase decisions (% of women age 15-49),"Women participating in none of the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)","[YEAR] Women participating in none of the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",Women participating in own health care decisions (% of women age 15-49),[YEAR] Women participating in own health care decisions (% of women age 15-49)
AGO,24.7,2016.0,21.6,2016.0,53.2,2016.0,12.0,2016.0,29.5,2016.0,0.2,2016.0,18.5,2016.0,32.6,2016.0,48.3,2016.0,58.2,2016.0,,,,,30.0,2020.0,40.0,2019.0,87.8,2016.0,,,,,80.9,2016.0,6.5,2016.0,74.8,2016.0
BEN,53.1,2018.0,11.5,2018.0,34.8,2018.0,33.0,2018.0,21.4,2018.0,0.3,2018.0,52.1,2018.0,8.8,2018.0,38.4,2018.0,45.1,2018.0,,,25.9,2016.0,7.2289156629999995,2020.0,20.83333333,2019.0,66.5,2018.0,,,,,47.2,2018.0,27.2,2018.0,46.4,2018.0
BDI,27.7,2017.0,12.3,2017.0,59.7,2017.0,18.7,2017.0,13.7,2017.0,0.0,2017.0,30.6,2017.0,9.0,2017.0,60.3,2017.0,67.5,2017.0,,,16.3,2014.0,38.21138211,2020.0,26.08695652,2019.0,81.3,2017.0,,,,,69.3,2017.0,13.0,2017.0,72.0,2017.0
TCD,73.9,2015.0,8.9,2015.0,16.1,2015.0,51.8,2015.0,23.3,2015.0,0.3,2015.0,59.0,2015.0,21.1,2015.0,18.7,2015.0,23.8,2015.0,,,12.0,2018.0,15.43209877,2020.0,25.92592593,2019.0,47.2,2015.0,,,,,39.8,2015.0,38.7,2015.0,24.9,2015.0
COD,52.8,2014.0,10.7,2014.0,35.6,2014.0,45.2,2014.0,18.8,2014.0,0.1,2014.0,39.4,2014.0,16.6,2014.0,43.3,2014.0,35.4,2014.0,,,,,12.8,2020.0,17.39130435,2019.0,54.2,2014.0,,,,,59.8,2014.0,26.3,2014.0,46.3,2014.0
ETH,18.2,2016.0,15.4,2016.0,66.0,2016.0,16.0,2016.0,18.0,2016.0,0.2,2016.0,21.4,2016.0,10.6,2016.0,67.6,2016.0,65.8,2016.0,,,4.5,2015.0,38.75685558,2020.0,47.61904762,2019.0,83.8,2016.0,,,,,78.2,2016.0,10.3,2016.0,81.4,2016.0
GHA,22.5,2014.0,27.4,2014.0,49.5,2014.0,12.7,2014.0,26.4,2014.0,0.5,2014.0,25.3,2014.0,22.8,2014.0,51.1,2014.0,60.3,2014.0,26.55999947,2017.0,,,13.09090909,2020.0,25.0,2019.0,86.7,2014.0,,,,,73.9,2014.0,6.7,2014.0,76.9,2014.0
GIN,59.0,2018.0,12.0,2018.0,28.3,2018.0,47.9,2018.0,10.9,2018.0,0.3,2018.0,51.0,2018.0,16.9,2018.0,31.3,2018.0,40.7,2018.0,,,5.8,2016.0,16.66666667,2020.0,10.81081081,2019.0,51.6,2018.0,,,,,48.2,2018.0,37.1,2018.0,40.3,2018.0
KEN,20.9,2014.0,38.6,2014.0,40.1,2014.0,26.1,2014.0,23.2,2014.0,0.2,2014.0,27.0,2014.0,19.6,2014.0,52.9,2014.0,50.2,2014.0,,,18.1,2018.0,21.7765043,2020.0,26.08695652,2019.0,73.4,2014.0,93.6,2014.0,,,72.5,2014.0,9.7,2014.0,78.7,2014.0
LSO,9.0,2014.0,40.3,2014.0,49.0,2014.0,24.9,2014.0,22.5,2014.0,2.5,2014.0,9.0,2014.0,13.7,2014.0,75.2,2014.0,49.7,2014.0,,,36.2,2016.0,23.33333333,2020.0,7.407407407000001,2019.0,72.2,2014.0,,,,,88.8,2014.0,3.0,2014.0,89.3,2014.0
