Country,15-19,[YEAR] 15-19,20-24,[YEAR] 20-24,25-29,[YEAR] 25-29,30-34,[YEAR] 30-34,35-39,[YEAR] 35-39,40-44,[YEAR] 40-44,15-49,[YEAR] 15-49,45-49,[YEAR] 45-49
AGO,24.3,2016.0,32.9,2016.0,28.0,2016.0,25.1,2016.0,24.8,2016.0,20.6,2016.0,25.9,2016.0,18.1,2016.0
BFA,,,10.3,2010.0,9.4,2010.0,9.1,2010.0,10.8,2010.0,9.1,2010.0,9.3,2010.0,8.7,2010.0
BDI,37.8,2017.0,34.4,2017.0,29.0,2017.0,28.6,2017.0,26.5,2017.0,22.5,2017.0,27.9,2017.0,21.9,2017.0
CPV,,,,,,,,,,,,,7.8,2005.0,,
CMR,27.4,2014.0,32.8,2014.0,32.8,2014.0,35.7,2014.0,35.2,2014.0,31.4,2014.0,32.7,2014.0,28.2,2014.0
CAF,31.8,2006.0,,,,,,,,,,,26.3,2006.0,,
TCD,14.5,2015.0,19.3,2015.0,18.7,2015.0,19.7,2015.0,18.8,2015.0,13.1,2015.0,17.5,2015.0,14.0,2015.0
COM,3.7,2012.0,7.7,2012.0,5.4,2012.0,4.8,2012.0,3.3,2012.0,2.5,2012.0,4.9,2012.0,6.0,2012.0
CIV,19.1,2012.0,26.2,2012.0,23.7,2012.0,19.9,2012.0,22.8,2012.0,19.2,2012.0,22.0,2012.0,20.3,2012.0
EGY,16.5,2014.0,20.3,2014.0,15.6,2014.0,13.2,2014.0,14.3,2014.0,10.8,2014.0,14.0,2014.0,7.5,2014.0
GNQ,56.1,2011.0,56.8,2011.0,58.5,2011.0,,,,,,,43.6,2011.0,,
ETH,24.3,2016.0,23.1,2016.0,20.3,2016.0,18.3,2016.0,18.1,2016.0,17.7,2016.0,19.8,2016.0,18.9,2016.0
GAB,40.3,2012.0,43.3,2012.0,32.2,2012.0,29.5,2012.0,22.8,2012.0,27.2,2012.0,31.5,2012.0,32.1,2012.0
GMB,5.0,2013.0,6.6,2013.0,10.6,2013.0,8.9,2013.0,6.8,2013.0,6.2,2013.0,7.3,2013.0,1.6,2013.0
GHA,22.8,2008.0,21.0,2008.0,19.7,2008.0,15.9,2008.0,21.9,2008.0,18.2,2008.0,19.2,2008.0,17.5,2008.0
KEN,23.0,2014.0,28.0,2014.0,28.1,2014.0,24.6,2014.0,26.2,2014.0,20.2,2014.0,25.5,2014.0,22.9,2014.0
LBR,37.3,2007.0,44.2,2007.0,42.2,2007.0,38.0,2007.0,31.2,2007.0,25.7,2007.0,35.0,2007.0,23.1,2007.0
MWI,28.1,2016.0,25.3,2016.0,30.2,2016.0,23.0,2016.0,19.9,2016.0,23.1,2016.0,24.3,2016.0,15.2,2016.0
MLI,22.6,2006.0,23.5,2006.0,22.8,2006.0,19.8,2006.0,21.6,2006.0,20.7,2006.0,21.5,2006.0,15.8,2006.0
MOZ,,,15.3,2015.0,18.7,2015.0,,,,,,,,,,
NAM,52.0,2013.0,25.5,2013.0,20.5,2013.0,19.4,2013.0,17.3,2013.0,16.3,2013.0,20.2,2013.0,20.2,2013.0
NGA,8.9,2013.0,12.6,2013.0,12.0,2013.0,12.8,2013.0,10.7,2013.0,9.8,2013.0,11.0,2013.0,7.2,2013.0
RWA,,,21.9,2015.0,18.9,2015.0,25.0,2015.0,20.2,2015.0,19.2,2015.0,20.7,2015.0,14.5,2015.0
STP,27.6,2009.0,27.9,2009.0,29.1,2009.0,26.9,2009.0,24.6,2009.0,30.4,2009.0,26.3,2009.0,15.2,2009.0
SEN,18.9,2017.0,12.8,2017.0,12.6,2017.0,14.7,2017.0,11.5,2017.0,7.4,2017.0,12.2,2017.0,7.1,2017.0
SLE,30.5,2013.0,37.4,2013.0,34.3,2013.0,29.7,2013.0,28.7,2013.0,21.7,2013.0,28.7,2013.0,17.2,2013.0
TGO,13.2,2014.0,14.9,2014.0,14.9,2014.0,14.7,2014.0,12.0,2014.0,8.9,2014.0,12.7,2014.0,8.1,2014.0
UGA,31.0,2016.0,33.4,2016.0,30.2,2016.0,30.2,2016.0,29.7,2016.0,25.0,2016.0,29.9,2016.0,25.5,2016.0
ZMB,29.8,2014.0,31.6,2014.0,29.0,2014.0,26.7,2014.0,26.8,2014.0,21.6,2014.0,26.7,2014.0,16.0,2014.0
ZWE,31.5,2015.0,25.3,2015.0,24.7,2015.0,20.2,2015.0,15.7,2015.0,10.7,2015.0,19.9,2015.0,10.6,2015.0
